                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.51826,                0.37994,                0.82363,                0.74594,                0.76164,                0.77796,                0.65493,                0.70292,                  1.054,                0.88333,             0.00093385,             0.00093385,             0.00093385
                     37,                0.50796,                0.37317,                0.82502,                0.73323,                0.73085,                0.75864,                0.62377,                0.72723,                 1.0794,                0.89518,              0.0009197,              0.0009197,              0.0009197
                     38,                0.51167,                0.39219,                 0.8217,                0.73432,                0.69217,                0.72924,                0.61686,                 0.6765,                 1.0887,                0.87249,             0.00090556,             0.00090556,             0.00090556
                     39,                0.49254,                0.37539,                0.81687,                0.66942,                0.66853,                0.70733,                  0.602,                0.68658,                 1.2269,                0.89373,             0.00089141,             0.00089141,             0.00089141
                     40,                0.45953,                0.36444,                0.81308,                0.65441,                0.59476,                 0.6384,                0.53365,                0.77025,                 1.5003,                0.92609,             0.00087726,             0.00087726,             0.00087726
                     41,                0.45752,                0.34111,                0.81196,                0.67943,                0.62373,                 0.6797,                0.59173,                0.65629,                 1.3538,                0.90291,             0.00086312,             0.00086312,             0.00086312
                     42,                0.41695,                0.32238,                 0.8025,                0.69008,                 0.6462,                0.69104,                0.59826,                0.64329,                 1.2382,                0.86826,             0.00084897,             0.00084897,             0.00084897
                     43,                0.41866,                0.32629,                0.80097,                0.72915,                0.74135,                0.75932,                0.65981,                0.61218,                 1.0392,                0.85477,             0.00083482,             0.00083482,             0.00083482
                     44,                0.39692,                0.32597,                0.79865,                0.72591,                0.70989,                0.74563,                0.65265,                0.60841,                 1.1123,                0.85645,             0.00082067,             0.00082067,             0.00082067
                     45,                0.37376,                0.31373,                0.79389,                0.70238,                0.65462,                 0.7215,                0.63105,                0.61558,                 1.1739,                0.86515,             0.00080653,             0.00080653,             0.00080653
                     46,                0.38683,                0.32226,                0.79799,                0.71596,                0.67728,                0.72155,                0.61718,                0.67788,                 1.1666,                0.88928,             0.00079238,             0.00079238,             0.00079238
                     47,                0.40343,                0.32332,                0.79882,                0.71182,                0.65689,                0.71926,                0.62476,                0.64955,                 1.1844,                0.87654,             0.00077823,             0.00077823,             0.00077823
                     48,                0.38002,                0.31355,                 0.7941,                0.68885,                0.62886,                0.68838,                0.59621,                0.63667,                 1.2951,                0.88842,             0.00076409,             0.00076409,             0.00076409
                     49,                0.35679,                0.29924,                0.79182,                0.69499,                0.69063,                0.72634,                0.62653,                0.66112,                  1.166,                0.87913,             0.00074994,             0.00074994,             0.00074994
                     50,                0.42364,                0.32089,                0.80141,                0.71062,                 0.6724,                0.72815,                0.62385,                0.63893,                 1.1337,                0.86356,             0.00073579,             0.00073579,             0.00073579
                     51,                0.37251,                0.30725,                0.78977,                0.68595,                0.66765,                0.69142,                0.60351,                0.61496,                 1.2763,                0.85863,             0.00072164,             0.00072164,             0.00072164
                     52,                0.33983,                0.29434,                0.78561,                0.68946,                0.67595,                0.71929,                0.62276,                0.63903,                 1.1905,                0.87563,              0.0007075,              0.0007075,              0.0007075
                     53,                0.36929,                0.29365,                0.79006,                0.67338,                0.68043,                0.70039,                0.60218,                0.65834,                 1.2442,                0.88226,             0.00069335,             0.00069335,             0.00069335
                     54,                0.38467,                0.30953,                0.78971,                0.65911,                 0.6471,                0.68025,                 0.5773,                0.72021,                 1.3357,                0.89686,              0.0006792,              0.0006792,              0.0006792
                     55,                0.39879,                0.29879,                0.79396,                0.68969,                0.67096,                0.71259,                0.61889,                0.62117,                 1.1925,                0.86988,             0.00066506,             0.00066506,             0.00066506
                     56,                0.28766,                0.25643,                0.77851,                0.66903,                0.68357,                0.69915,                0.60739,                0.64488,                 1.2235,                0.87285,             0.00065091,             0.00065091,             0.00065091
                     57,                 0.3332,                 0.2789,                0.78017,                0.67538,                0.68675,                0.70513,                0.61215,                0.62853,                 1.1885,                0.87105,             0.00063676,             0.00063676,             0.00063676
                     58,                0.32979,                0.27469,                0.78239,                0.67411,                0.66926,                0.69409,                0.60302,                0.63217,                 1.2238,                0.87004,             0.00062262,             0.00062262,             0.00062262
                     59,                0.33528,                0.26914,                 0.7816,                0.68774,                0.70463,                0.73793,                0.64189,                0.60586,                 1.1462,                0.85491,             0.00060847,             0.00060847,             0.00060847
                     60,                0.29083,                0.24422,                0.77485,                0.67403,                0.70278,                0.72812,                 0.6315,                0.60659,                 1.1309,                  0.858,             0.00059432,             0.00059432,             0.00059432
                     61,                0.29904,                0.24401,                0.77598,                0.70705,                0.71335,                0.74514,                 0.6491,                0.60839,                 1.0559,                0.85887,             0.00058017,             0.00058017,             0.00058017
                     62,                0.33392,                 0.2573,                0.78277,                0.68395,                0.69245,                 0.7206,                0.62505,                0.60722,                 1.1413,                0.85975,             0.00056603,             0.00056603,             0.00056603
                     63,                0.27977,                0.23929,                0.77401,                0.68293,                0.65592,                0.69854,                0.61154,                0.62725,                 1.2568,                0.87595,             0.00055188,             0.00055188,             0.00055188
                     64,                0.27763,                0.24086,                0.77111,                0.70077,                0.70268,                0.74383,                0.64536,                0.60428,                  1.078,                0.85694,             0.00053773,             0.00053773,             0.00053773
                     65,                0.28095,                0.24111,                0.77385,                0.71245,                0.66899,                0.73617,                0.64562,                0.58807,                 1.1096,                0.85721,             0.00052359,             0.00052359,             0.00052359
                     66,                0.24202,                0.22601,                0.76888,                0.68015,                0.67537,                 0.7076,                0.61987,                0.61774,                 1.2074,                 0.8678,             0.00050944,             0.00050944,             0.00050944
                     67,                0.26088,                0.22568,                0.76984,                0.69171,                 0.6827,                0.72658,                0.63893,                0.57835,                 1.1232,                0.84995,             0.00049529,             0.00049529,             0.00049529
                     68,                0.24036,                0.21883,                0.76752,                0.74508,                0.72081,                0.77393,                0.67382,                0.59182,                  1.014,                0.84947,             0.00048114,             0.00048114,             0.00048114
                     69,                0.27519,                 0.2295,                 0.7703,                0.69031,                0.68144,                0.72882,                0.63905,                0.60205,                 1.1501,                0.85978,               0.000467,               0.000467,               0.000467
                     70,                0.24443,                0.22148,                0.76717,                0.67352,                0.67733,                0.70919,                0.62591,                0.60032,                 1.1876,                0.86362,             0.00045285,             0.00045285,             0.00045285
                     71,                0.23369,                0.21734,                0.76553,                0.70636,                0.67868,                0.72346,                0.63557,                 0.5835,                 1.1199,                 0.8556,              0.0004387,              0.0004387,              0.0004387
                     72,                0.23878,                0.21088,                0.76601,                 0.6858,                0.70758,                0.73544,                0.64344,                 0.5941,                 1.1022,                0.85325,             0.00042456,             0.00042456,             0.00042456
                     73,                0.23446,                0.20465,                0.76585,                0.73494,                0.65989,                0.74626,                0.65637,                0.58355,                 1.0923,                0.85149,             0.00041041,             0.00041041,             0.00041041
                     74,                0.22293,                0.20619,                0.76447,                0.73993,                0.64471,                0.72593,                0.63746,                0.60327,                 1.1581,                 0.8606,             0.00039626,             0.00039626,             0.00039626
                     75,                0.25145,                0.20701,                0.76641,                0.66799,                0.69677,                0.72483,                 0.6356,                0.59238,                 1.1468,                0.85857,             0.00038211,             0.00038211,             0.00038211
                     76,                0.20983,                0.19155,                0.76371,                0.71119,                0.66311,                0.73108,                 0.6412,                0.59551,                 1.1385,                0.85747,             0.00036797,             0.00036797,             0.00036797
                     77,                0.21385,                 0.1951,                0.76221,                0.69555,                0.68851,                0.73631,                0.64756,                0.57907,                 1.1181,                0.85166,             0.00035382,             0.00035382,             0.00035382
                     78,                0.23383,                0.19308,                0.76633,                0.67481,                0.68936,                0.72845,                0.64106,                0.59274,                 1.1437,                0.85754,             0.00033967,             0.00033967,             0.00033967
                     79,                0.19135,                0.18346,                0.75972,                 0.7111,                0.65972,                0.72688,                  0.639,                 0.5792,                 1.1516,                0.85225,             0.00032553,             0.00032553,             0.00032553
                     80,                0.18779,                0.18506,                0.76066,                0.70245,                0.67882,                 0.7432,                 0.6551,                0.56949,                 1.1052,                0.84803,             0.00031138,             0.00031138,             0.00031138
