                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.42005,                0.32427,                 0.8214,                0.70033,                0.69208,                0.71387,                0.62157,                0.62571,                 1.2617,                0.89016,             0.00093385,             0.00093385,             0.00093385
                     37,                0.42431,                0.31422,                 0.8238,                0.71438,                0.71358,                 0.7448,                 0.6518,                0.61731,                 1.1279,                0.88337,              0.0009197,              0.0009197,              0.0009197
                     38,                0.49821,                0.33763,                 0.8396,                0.74298,                0.70921,                0.73197,                0.61821,                0.74146,                 1.2064,                0.95167,             0.00090556,             0.00090556,             0.00090556
                     39,                0.47003,                0.34174,                0.83558,                0.76427,                0.77832,                0.78338,                0.66989,                0.63121,                0.94979,                0.89066,             0.00089141,             0.00089141,             0.00089141
                     40,                 0.4226,                0.31642,                0.82212,                0.75718,                 0.7541,                0.77089,                0.66054,                0.63504,                  1.026,                0.88769,             0.00087726,             0.00087726,             0.00087726
                     41,                0.42328,                0.31767,                0.82128,                0.74479,                 0.7031,                0.73926,                0.63564,                0.63019,                 1.2123,                0.89724,             0.00086312,             0.00086312,             0.00086312
                     42,                0.39688,                0.29819,                0.81567,                0.74112,                0.75158,                0.75735,                0.65378,                0.64559,                 1.0393,                0.88816,             0.00084897,             0.00084897,             0.00084897
                     43,                0.40478,                0.29523,                  0.816,                0.77691,                0.72187,                 0.7439,                0.63995,                0.66231,                 1.1177,                0.90809,             0.00083482,             0.00083482,             0.00083482
                     44,                0.36562,                0.28352,                 0.8095,                0.77209,                0.75854,                0.78284,                0.66098,                 0.6697,                0.97744,                0.89405,             0.00082067,             0.00082067,             0.00082067
                     45,                0.42434,                0.30043,                0.82093,                  0.709,                0.72362,                0.73922,                0.62991,                0.68083,                 1.1414,                0.91226,             0.00080653,             0.00080653,             0.00080653
                     46,                0.41434,                0.29556,                0.81755,                0.70095,                 0.6263,                0.67668,                0.59041,                0.69237,                 1.4739,                0.92928,             0.00079238,             0.00079238,             0.00079238
                     47,                0.39648,                 0.3038,                0.81402,                0.71603,                0.64396,                0.68334,                0.58419,                 0.6761,                 1.4874,                0.91264,             0.00077823,             0.00077823,             0.00077823
                     48,                0.37436,                0.28402,                0.80597,                0.76847,                0.71245,                0.74498,                 0.6555,                0.60597,                 1.0718,                0.88466,             0.00076409,             0.00076409,             0.00076409
                     49,                0.32947,                0.27022,                0.79922,                 0.7834,                0.71789,                0.75534,                0.64785,                0.65788,                 1.0368,                 0.9017,             0.00074994,             0.00074994,             0.00074994
                     50,                0.35949,                0.27885,                 0.8036,                0.76885,                0.72852,                0.76916,                0.66658,                0.61271,                 1.0258,                0.88468,             0.00073579,             0.00073579,             0.00073579
                     51,                0.35547,                0.27523,                0.80329,                0.72741,                0.72148,                0.74458,                0.63959,                 0.6638,                 1.2018,                 0.9048,             0.00072164,             0.00072164,             0.00072164
                     52,                0.36653,                 0.2716,                0.80416,                0.76155,                0.70694,                 0.7459,                0.64587,                0.62612,                 1.1363,                0.88463,              0.0007075,              0.0007075,              0.0007075
                     53,                0.33312,                0.25619,                0.79809,                0.72604,                0.70263,                0.72939,                0.62561,                0.68108,                  1.178,                0.90532,             0.00069335,             0.00069335,             0.00069335
                     54,                 0.3454,                0.25742,                0.79842,                0.69638,                0.69586,                 0.7168,                0.62031,                0.65214,                  1.249,                0.91426,              0.0006792,              0.0006792,              0.0006792
                     55,                0.32135,                 0.2426,                0.79604,                0.74156,                0.73487,                0.74068,                0.64714,                 0.6061,                 1.0963,                0.88605,             0.00066506,             0.00066506,             0.00066506
                     56,                0.31457,                0.24165,                0.79313,                0.74397,                0.73677,                0.74527,                0.63973,                 0.6465,                  1.145,                0.89045,             0.00065091,             0.00065091,             0.00065091
                     57,                0.34738,                0.25664,                 0.7957,                0.73133,                 0.6896,                0.71977,                0.61674,                0.64581,                 1.1892,                0.89317,             0.00063676,             0.00063676,             0.00063676
                     58,                0.32832,                0.24486,                0.79644,                0.70612,                0.70186,                0.72576,                 0.6364,                0.61556,                 1.2171,                0.90169,             0.00062262,             0.00062262,             0.00062262
                     59,                0.29458,                0.23275,                0.79124,                0.72116,                0.72128,                0.72945,                0.63644,                0.62331,                 1.1861,                 0.8866,             0.00060847,             0.00060847,             0.00060847
                     60,                0.31037,                0.24467,                0.79184,                0.74522,                0.74878,                 0.7572,                0.66006,                0.59662,                 1.0355,                0.87735,             0.00059432,             0.00059432,             0.00059432
                     61,                0.29582,                0.23998,                0.79045,                0.76766,                0.69848,                0.73208,                0.64009,                0.59583,                 1.0567,                0.88264,             0.00058017,             0.00058017,             0.00058017
                     62,                0.26672,                0.22631,                0.78645,                0.71655,                0.68751,                0.71585,                 0.6286,                0.62036,                 1.3017,                0.90068,             0.00056603,             0.00056603,             0.00056603
                     63,                0.26177,                0.22312,                0.78471,                0.73793,                0.71024,                0.72423,                0.62988,                0.60222,                 1.1365,                0.88324,             0.00055188,             0.00055188,             0.00055188
                     64,                0.25551,                0.21692,                0.78429,                0.75425,                0.67756,                0.72034,                0.63238,                0.59719,                 1.1868,                 0.8892,             0.00053773,             0.00053773,             0.00053773
                     65,                0.24809,                0.21063,                0.78266,                0.71471,                 0.7042,                0.71264,                0.62313,                0.61777,                  1.255,                0.88951,             0.00052359,             0.00052359,             0.00052359
                     66,                0.26569,                0.22372,                0.78433,                 0.7364,                 0.7037,                0.73705,                0.65151,                0.62322,                 1.1683,                0.90023,             0.00050944,             0.00050944,             0.00050944
                     67,                0.24456,                0.20577,                0.78138,                 0.7346,                 0.7006,                0.71035,                0.62058,                0.59753,                 1.1711,                0.88359,             0.00049529,             0.00049529,             0.00049529
                     68,                0.23181,                0.20119,                 0.7795,                0.73673,                0.70918,                 0.7197,                0.62977,                0.61776,                  1.197,                0.88452,             0.00048114,             0.00048114,             0.00048114
                     69,                0.23947,                0.20732,                0.77991,                0.72168,                0.70576,                0.71905,                0.63898,                0.57991,                 1.1706,                0.88068,               0.000467,               0.000467,               0.000467
                     70,                0.21078,                0.19125,                0.77661,                0.76928,                0.71224,                 0.7458,                 0.6603,                0.58419,                 1.0893,                0.88336,             0.00045285,             0.00045285,             0.00045285
                     71,                0.22542,                0.18935,                0.77869,                0.73776,                0.70339,                0.72077,                0.63473,                   0.59,                 1.1438,                0.88025,              0.0004387,              0.0004387,              0.0004387
                     72,                0.22743,                 0.1889,                0.77869,                0.72892,                0.72302,                 0.7275,                0.63912,                0.61249,                 1.1387,                0.88459,             0.00042456,             0.00042456,             0.00042456
                     73,                0.23882,                0.19859,                0.77825,                0.73464,                0.70991,                0.72602,                0.63756,                0.58514,                 1.1245,                0.88082,             0.00041041,             0.00041041,             0.00041041
                     74,                 0.2297,                0.18727,                0.77877,                0.73085,                0.71155,                0.73341,                0.64616,                0.59918,                 1.1585,                0.88321,             0.00039626,             0.00039626,             0.00039626
                     75,                0.20486,                0.17953,                0.77421,                0.74088,                0.72243,                 0.7394,                0.65171,                0.58632,                 1.0914,                0.88211,             0.00038211,             0.00038211,             0.00038211
                     76,                0.19373,                0.16726,                0.77376,                0.76172,                0.70596,                0.74568,                0.65726,                0.59212,                 1.0935,                0.88284,             0.00036797,             0.00036797,             0.00036797
                     77,                0.20501,                0.17017,                0.77445,                0.71322,                0.70148,                0.70146,                0.62164,                  0.583,                 1.2258,                0.88077,             0.00035382,             0.00035382,             0.00035382
                     78,                0.20022,                0.16555,                0.77505,                0.71909,                0.69748,                0.71682,                0.63491,                0.59575,                 1.2076,                0.89412,             0.00033967,             0.00033967,             0.00033967
                     79,                0.18313,                0.16245,                0.77308,                0.74046,                0.70658,                0.73118,                0.63959,                0.58993,                 1.1318,                0.88008,             0.00032553,             0.00032553,             0.00032553
                     80,                0.20068,                0.16722,                0.77349,                0.74149,                0.70225,                0.73481,                0.65162,                0.58239,                  1.141,                0.88246,             0.00031138,             0.00031138,             0.00031138
                     81,                0.16106,                 0.1459,                0.76986,                0.71447,                0.71605,                0.73238,                0.65274,                0.57313,                 1.1634,                0.88163,             0.00029723,             0.00029723,             0.00029723
                     82,                0.16775,                0.14954,                0.77046,                0.73792,                0.72628,                0.73833,                0.65309,                0.59286,                 1.0802,                0.88134,             0.00028308,             0.00028308,             0.00028308
                     83,                0.17451,                0.15133,                0.77061,                0.72816,                0.73251,                0.74084,                0.65773,                 0.5657,                 1.1013,                0.87957,             0.00026894,             0.00026894,             0.00026894
                     84,                 0.1453,                0.13839,                0.76883,                0.72282,                0.72406,                0.72307,                 0.6443,                0.56968,                 1.1227,                0.87865,             0.00025479,             0.00025479,             0.00025479
                     85,                0.15905,                0.14657,                0.76907,                0.74818,                0.68496,                0.71455,                0.63437,                0.58009,                 1.1823,                 0.8804,             0.00024064,             0.00024064,             0.00024064
                     86,                0.14989,                0.14134,                0.76905,                0.74267,                0.72669,                  0.738,                0.65304,                 0.5686,                 1.0747,                0.87948,              0.0002265,              0.0002265,              0.0002265
                     87,                0.13385,                0.13054,                 0.7668,                0.73059,                0.72678,                0.72804,                0.64771,                0.56181,                 1.0851,                0.87883,             0.00021235,             0.00021235,             0.00021235
                     88,                0.13624,                0.12912,                0.76716,                 0.7284,                0.71105,                0.71825,                0.63652,                0.57787,                 1.1706,                0.88042,              0.0001982,              0.0001982,              0.0001982
                     89,                0.13198,                0.12328,                 0.7667,                0.73382,                0.71171,                0.72641,                0.64774,                0.56265,                 1.1464,                0.87736,             0.00018406,             0.00018406,             0.00018406
                     90,                0.12259,                0.12268,                0.76606,                0.74764,                0.71694,                 0.7434,                0.66391,                0.56576,                 1.0918,                0.87985,             0.00016991,             0.00016991,             0.00016991
                     91,                0.11405,                0.11613,                 0.7655,                0.72998,                0.72534,                0.73305,                0.65204,                0.56248,                 1.1473,                0.87743,             0.00015576,             0.00015576,             0.00015576
                     92,                0.11314,                0.11359,                0.76526,                0.73907,                0.71651,                0.73113,                0.65327,                0.56296,                 1.1233,                0.87795,             0.00014161,             0.00014161,             0.00014161
                     93,                0.10828,                0.10988,                0.76493,                0.74118,                0.69908,                0.72246,                0.64165,                0.57078,                 1.1587,                0.88018,             0.00012747,             0.00012747,             0.00012747
                     94,                0.10009,                0.10451,                0.76473,                 0.7385,                0.72525,                0.73598,                0.65809,                 0.5524,                 1.1279,                0.87605,             0.00011332,             0.00011332,             0.00011332
                     95,                0.09498,                0.10312,                 0.7643,                0.74324,                0.72487,                0.73744,                0.65844,                0.56352,                 1.1229,                0.87772,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.09253,                0.10147,                0.76409,                0.72181,                 0.7278,                0.73091,                  0.653,                0.55935,                 1.1461,                0.87739,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.08682,                0.09666,                 0.7639,                 0.7187,                0.72827,                0.72608,                0.64983,                0.56056,                 1.1637,                0.87857,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.08159,                0.09411,                0.76348,                0.74882,                0.72291,                0.74018,                0.66085,                0.55914,                 1.1163,                0.87749,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.07602,                0.09023,                0.76332,                 0.7465,                0.72218,                0.73625,                 0.6588,                0.55339,                 1.1352,                0.87604,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.07265,                0.08789,                0.76312,                0.73258,                0.72452,                0.73176,                0.65497,                0.55865,                 1.1545,                0.87728,             2.8437e-05,             2.8437e-05,             2.8437e-05
