epoch ,train/box_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,val/box_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0     ,lr/pg1     ,lr/pg2
   29 ,       0.60095 ,       0.65616 ,       0.9103  ,             0.77578 ,          0.82676 ,         0.84821 ,            0.69043 ,     0.74847 ,     0.80427 ,     0.91502 ,0.0010329  ,0.0010329  ,0.0010329
   30 ,       0.616   ,       0.63958 ,       0.9114  ,             0.79212 ,          0.8596  ,         0.86714 ,            0.72286 ,     0.67575 ,     0.69961 ,     0.89061 ,0.0010187  ,0.0010187  ,0.0010187
   31 ,       0.60936 ,       0.66349 ,       0.91159 ,             0.77254 ,          0.81949 ,         0.82472 ,            0.64569 ,     0.88019 ,     0.82533 ,     0.97859 ,0.0010046  ,0.0010046  ,0.0010046
   32 ,       0.61374 ,       0.63381 ,       0.90452 ,             0.80059 ,          0.82779 ,         0.85652 ,            0.66915 ,     0.86179 ,     0.77177 ,     0.97124 ,0.00099044 ,0.00099044 ,0.00099044
   33 ,       0.58841 ,       0.60667 ,       0.90143 ,             0.7594  ,          0.8297  ,         0.85913 ,            0.71691 ,     0.75433 ,     0.81425 ,     0.94583 ,0.00097629 ,0.00097629 ,0.00097629
   34 ,       0.66345 ,       0.61297 ,       0.93401 ,             0.79849 ,          0.87062 ,         0.87619 ,            0.73797 ,     0.69533 ,     0.66437 ,     0.90977 ,0.00096215 ,0.00096215 ,0.00096215
   35 ,       0.58157 ,       0.58666 ,       0.90256 ,             0.82241 ,          0.85039 ,         0.87593 ,            0.73879 ,     0.6784  ,     0.66044 ,     0.90783 ,0.000948   ,0.000948   ,0.000948
   36 ,       0.61403 ,       0.6035  ,       0.91791 ,             0.79531 ,          0.89063 ,         0.90823 ,            0.76621 ,     0.67116 ,     0.61545 ,     0.89026 ,0.00093385 ,0.00093385 ,0.00093385
   37 ,       0.5978  ,       0.5939  ,       0.91015 ,             0.76207 ,          0.81197 ,         0.85909 ,            0.66117 ,     0.96239 ,     0.88226 ,     1.0381  ,0.0009197  ,0.0009197  ,0.0009197
   38 ,       0.65452 ,       0.60359 ,       0.92929 ,             0.80984 ,          0.83527 ,         0.86883 ,            0.71518 ,     0.82988 ,     0.8383  ,     0.98993 ,0.00090556 ,0.00090556 ,0.00090556
   39 ,       0.6072  ,       0.59131 ,       0.91181 ,             0.81839 ,          0.86379 ,         0.89925 ,            0.76846 ,     0.64707 ,     0.64822 ,     0.90175 ,0.00089141 ,0.00089141 ,0.00089141
   40 ,       0.63106 ,       0.5628  ,       0.91553 ,             0.81058 ,          0.78173 ,         0.83054 ,            0.70915 ,     0.68418 ,     0.77757 ,     0.91538 ,0.00087726 ,0.00087726 ,0.00087726
   41 ,       0.57735 ,       0.5642  ,       0.90039 ,             0.8117  ,          0.81998 ,         0.8599  ,            0.74453 ,     0.61472 ,     0.70544 ,     0.87416 ,0.00086312 ,0.00086312 ,0.00086312
   42 ,       0.56254 ,       0.56358 ,       0.89085 ,             0.8217  ,          0.85935 ,         0.88335 ,            0.76203 ,     0.61061 ,     0.63517 ,     0.86885 ,0.00084897 ,0.00084897 ,0.00084897
   43 ,       0.57983 ,       0.56968 ,       0.90945 ,             0.84069 ,          0.83737 ,         0.89766 ,            0.76075 ,     0.63476 ,     0.60653 ,     0.87677 ,0.00083482 ,0.00083482 ,0.00083482
