                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.68086,                0.60744,                0.94913,                 0.6328,                0.70536,                0.68519,                0.51157,                 1.1508,                 1.6371,                 1.1097,               0.000948,               0.000948,               0.000948
                     36,                0.69664,                0.61438,                0.96437,                0.62101,                0.69487,                0.65949,                0.50813,                0.91511,                 1.3336,                 1.0034,             0.00093385,             0.00093385,             0.00093385
                     37,                0.68693,                0.60612,                0.95907,                0.62255,                0.69678,                0.66973,                0.53801,                0.87551,                 1.5395,                0.99564,              0.0009197,              0.0009197,              0.0009197
                     38,                0.70114,                0.62601,                0.96252,                0.69715,                0.62794,                0.65711,                0.52558,                0.96747,                  1.718,                 1.0474,             0.00090556,             0.00090556,             0.00090556
                     39,                0.70093,                0.62627,                0.95942,                0.66279,                0.73594,                0.68682,                0.54789,                0.90985,                 1.5681,                 1.0227,             0.00089141,             0.00089141,             0.00089141
                     40,                 0.7389,                0.60504,                0.96196,                0.67059,                0.72301,                 0.7083,                0.55917,                0.99147,                 1.2661,                 1.0594,             0.00087726,             0.00087726,             0.00087726
                     41,                0.64784,                0.56207,                0.94809,                0.65672,                0.75795,                0.73887,                0.60043,                0.84147,                 1.1714,                0.97702,             0.00086312,             0.00086312,             0.00086312
                     42,                0.64865,                0.58333,                0.93823,                0.80535,                0.81303,                0.85815,                0.72435,                0.71867,                0.81855,                 0.9239,             0.00084897,             0.00084897,             0.00084897
                     43,                0.65467,                0.58543,                0.95288,                0.77573,                0.83439,                0.87358,                0.72359,                0.74895,                0.65414,                0.93382,             0.00083482,             0.00083482,             0.00083482
                     44,                 0.6882,                 0.5643,                 0.9603,                0.75742,                0.86058,                0.87533,                0.74382,                0.67033,                0.67205,                0.90605,             0.00082067,             0.00082067,             0.00082067
                     45,                0.78173,                0.59083,                0.98136,                0.72803,                0.79061,                0.81528,                0.70091,                0.66548,                0.85083,                0.90751,             0.00080653,             0.00080653,             0.00080653
                     46,                0.70171,                0.56049,                0.94909,                 0.7333,                0.68839,                0.72934,                0.62528,                0.74858,                 1.3655,                0.95733,             0.00079238,             0.00079238,             0.00079238
                     47,                 0.6483,                0.54159,                0.94997,                 0.7812,                0.77827,                0.81259,                0.67675,                0.69934,                0.92454,                0.91089,             0.00077823,             0.00077823,             0.00077823
                     48,                0.66375,                0.55595,                0.95026,                0.75331,                0.76451,                0.79775,                0.64814,                0.82149,                0.93115,                 0.9647,             0.00076409,             0.00076409,             0.00076409
